39.258,33.33,43.023
53.57,36.703,59.928
42.912,48.239,43.714
55.049,39.605,45.842
37.16,54.844,34.908
28.774,51.177,60.129
39.186,52.323,52.786
61.589,45.861,43.032
60.06,64.837,39.827
46.467,49.182,50.415
56.74,48.883,32.085
46.916,43.05,76.333
45.898,52.739,49.62
48.933,54.371,44.247
49.458,47.642,46.314
45.539,44.598,57.315
44.917,31.114,53.509
53.362,51.312,36.636
55.9,57.394,62.466
58.592,50.878,44.105
68.569,46.304,76.378
43.431,38.478,40.023
53.613,31.322,52.681
42.71,36.295,52.664
51.92,51.41,44.254
51.366,55.455,49.939
42.112,44.903,26.144
55.62,61.342,52.28
64.447,63.76,39.255
58.12,50.124,49.554
